2026-07-31 13:14:53,417 - INFO - CALCULO_SALARIO | IP: 127.0.0.1 | Bruto: 1500.0
2026-07-31 13:15:03,886 - INFO - CALCULO_INFLACAO | IP: 127.0.0.1 | Consulta inflação
2026-07-31 13:15:08,229 - INFO - CALCULO_POUPANCA | IP: 127.0.0.1 | Capital:1000.0 Juro:5.0 Anos:10
2026-07-31 13:15:12,533 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 13:15:16,310 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:150.0
2026-07-31 13:15:21,709 - INFO - CALCULO_SALARIO | IP: 127.0.0.1 | Bruto: 1500.0
2026-07-31 13:15:24,877 - INFO - CALCULO_CREDITO | IP: 127.0.0.1 | Valor: 200000.0
2026-07-31 13:15:29,436 - INFO - CALCULO_RESCISAO | IP: 127.0.0.1 | Vencimento: 1200.0
2026-07-31 13:15:32,397 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1200.0
2026-07-31 13:15:40,862 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1200.0
2026-07-31 13:23:18,088 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1200.0
2026-07-31 13:24:11,586 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1200.0
2026-07-31 13:24:34,197 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 13456.0
2026-07-31 13:24:56,727 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1367.0
2026-07-31 13:27:35,442 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1367.0
2026-07-31 13:27:49,499 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1345.0
2026-07-31 13:30:30,590 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1345.0
2026-07-31 13:30:40,843 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1234.0
2026-07-31 13:31:55,089 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1234.0
2026-07-31 13:32:06,219 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1234.0
2026-07-31 13:32:26,691 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1234.0
2026-07-31 13:32:34,941 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 1234.0
2026-07-31 13:32:42,185 - INFO - CALCULO_SUBSIDIO | IP: 127.0.0.1 | Média: 4567.0
2026-07-31 13:34:33,027 - INFO - CALCULO_SALARIO | IP: 127.0.0.1 | Bruto: 1234.0
2026-07-31 13:36:51,230 - INFO - CALCULO_RESCISAO | IP: 127.0.0.1 | Vencimento: 12345.0
2026-07-31 13:37:54,320 - INFO - CALCULO_POUPANCA | IP: 127.0.0.1 | Capital:1000.0 Juro:5.0 Anos:10
2026-07-31 13:38:01,526 - INFO - CALCULO_POUPANCA | IP: 127.0.0.1 | Capital:1234.0 Juro:5.0 Anos:10
2026-07-31 13:39:41,110 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:150.0
2026-07-31 13:39:54,101 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:150.0
2026-07-31 13:39:58,720 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12345.0
2026-07-31 13:41:08,223 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12345.0
2026-07-31 13:41:10,359 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12345.0
2026-07-31 13:41:40,616 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12345.0
2026-07-31 13:41:44,967 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12345.0
2026-07-31 13:41:59,381 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12345.0
2026-07-31 13:51:36,455 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12345.0
2026-07-31 13:51:53,366 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12.0
2026-07-31 14:14:02,272 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2020 CO2:12 CC:1500 Combustivel:gasolina
2026-07-31 14:14:24,371 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2025 CO2:12 CC:2500 Combustivel:gasolina
2026-07-31 14:15:06,159 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 14:15:06,189 - INFO - INTERNAL_SERVER_ERROR | IP: 127.0.0.1 | 'dict object' has no attribute 'comp_ambiental'
2026-07-31 14:16:36,124 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 14:16:36,153 - INFO - INTERNAL_SERVER_ERROR | IP: 127.0.0.1 | 'dict object' has no attribute 'comp_ambiental'
2026-07-31 14:16:39,406 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 14:16:39,449 - INFO - INTERNAL_SERVER_ERROR | IP: 127.0.0.1 | 'dict object' has no attribute 'comp_ambiental'
2026-07-31 14:17:48,075 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 14:17:48,097 - INFO - INTERNAL_SERVER_ERROR | IP: 127.0.0.1 | 'dict object' has no attribute 'comp_ambiental'
2026-07-31 14:18:01,703 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 14:39:56,645 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 14:40:01,670 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 14:40:33,334 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 15:38:38,184 - INFO - CALCULO_POUPANCA | IP: 127.0.0.1 | Capital:1234.0 Juro:5.0 Anos:10
2026-07-31 15:38:45,243 - INFO - CALCULO_INFLACAO | IP: 127.0.0.1 | Consulta inflação
2026-07-31 15:38:52,107 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 15:39:02,365 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2025 CO2:12 CC:2500 Combustivel:gasolina
2026-07-31 15:42:48,833 - INFO - CALCULO_SALARIO | IP: 127.0.0.1 | Bruto: 1234.0
2026-07-31 15:43:47,864 - INFO - CALCULO_SALARIO | IP: 127.0.0.1 | Bruto: 1234.0
2026-07-31 15:47:47,549 - INFO - CALCULO_CREDITO | IP: 127.0.0.1 | Valor: 200000.0
2026-07-31 15:52:30,157 - INFO - CALCULO_CREDITO | IP: 127.0.0.1 | Valor: 200000.0
2026-07-31 15:52:43,632 - INFO - CALCULO_IUC | IP: 127.0.0.1 | Ano:2025 CO2:12 CC:2500 Combustivel:gasolina
2026-07-31 15:52:54,929 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 15:53:46,579 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 15:53:54,656 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 15:57:04,679 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 15:58:29,161 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 16:03:22,734 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 16:07:27,219 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 16:11:06,475 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 16:16:50,286 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
2026-07-31 16:19:37,517 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2018 CC:2000.0 CO2:140.0
2026-07-31 16:20:24,001 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2010 CC:2000.0 CO2:140.0
2026-07-31 16:32:31,383 - INFO - CALCULO_ISV | IP: 127.0.0.1 | Ano:2020 CC:2000.0 CO2:150.0
